id,title,subtitle,level,links,quadrant,summary,descriptions,titles,titre,auteur,duree,type
9e7fc69ba4079bd65decf67d41800a50,education,ecroulement du syteme educatif,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"La personne parle d'une promenade dans un beau parc à Laguna, en Thaïlande. Elle mentionne avoir regardé des anciennes vidéos où ils étaient critiqués à la télévision sur un talk-show tardif en raison de leurs convictions dans la cryptomonnaie Bitcoin et l'éducation alternative.","Parc à Laguna en Thaïlande, Vidéos anciennes, Télévision et critique de l'éducation, Voyage dans le monde, Bitcoin et future décentralisé, Mémorisation des livres obsolète, Technologie blockchain et IA, Éducation des enfants, Chat GPT, Cryptomonnaies et Bitcoin, Écoles actuelles vs éducation future, Enseignement des enfants, Intelligence artificielle, Réforme scolaire, Importance de l'éducation, Évolution rapide du monde, Blockchain et cryptomonnaies, Communication entre machines","""Promenade à Laguna: Critiques télévisées sur Bitcoin et éducation alternative""","EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,00:12:31,Video Youtube
32ef598679b8b3550b9c352ad898c564,education,attrait des modeles alternatifs,1,https://www.youtube.com/watch?v=4XUUIqpomH0,comment bitcoin change societe,"Le texte parle d'une personne se promenant dans un beau parc à Laguna, en Thaïlande, et regardant des vidéos anciennes où ils sont apparus dans une émission de télévision tardive. L'émission critiquait leur éducation et leur histoire d'aventure de voyage dans le monde, axée sur la croyance en Bitcoin et un avenir décentralisé de l'éducation.","Parc, Vidéos, Éducation, Voyage, Bitcoin, Décentralisation, Intelligence artificielle, Blockchain, GPT, Écoles, Mémorisation, Technologies, Enseignement à domicile, Apprentissage non structuré, Compétences sociales, Cryptomonnaies, Réforme scolaire, Réseaux sociaux, Changements dans l'éducation, Rapidité de l'évolution du monde, Communication machine à machine, Paiements automatisés","""Exploration des souvenirs télévisuels et des rêves de décentralisation à Laguna, Thaïlande""","EDUCATION VS ChatGPT, BLOCKCHAIN & BITCOIN",THE BITCOIN FAMILY Didi Taihuttu,00:12:31,Video Youtube
e789193aca3888f4585c112888fad003,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=0dWf_iteNEk&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=19,comment j'utilise bitcoin,"La vidéo aborde les diverses options pour acheter des bitcoins en fonction des différences individuelles telles que l'âge, le revenu et le lieu de résidence des spectateurs. L'importance de choisir la meilleure option adaptée à chacun est soulignée, avec une mise en garde sur les risques potentiels liés à l'investissement dans les bitcoins.","Introduction aux bitcoins, Risques et avertissements sur les investissements en bitcoins, Nécessité de connaître les risques avant d'investir, Absence de garanties sur la valeur du bitcoin, Mise en garde contre l'investissement excessif, Importance d'avoir une stratégie d'investissement, Mise en garde contre la volatilité du bitcoin, Encouragement à se renseigner davantage sur le bitcoin, Recommandation de travailler pour obtenir des bitcoins, Absence de solution miracle pour investir en bitcoins, Responsabilité personnelle dans les investissements, Méthodes d","""Guide d'achat de bitcoins: Adaptation personnalisée et mise en garde sur les risques""",Où et comment acheter des Bitcoins en 2021 - chapitre 5 [BTC 102],Découvre Bitcoin,00:09:17,Video Youtube
161952cbab08a3c41d8b6cc4a6b70144,acheter du btc,1. vue d'ensemble,1,https://www.youtube.com/watch?v=YLyKHG-rAhY&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=22,comment j'utilise bitcoin,"La vidéo discute d'une stratégie d'achat de Bitcoin appelée ""bayer de deep"". Elle met en garde sur les risques du trading de Bitcoin, soulignant que c'est un actif spéculatif. L'importance de prendre ses propres décisions et de mener sa propre recherche est soulignée.","Stratégie d'achat pour Bitcoin : Bayer de Deep, Achat progressif vs. Achat en cas de crash, Stratégie ""Buy the Dip"" (Acheter la baisse), Acheter lors de retracements de 10-30%, Vision à long terme, Stratégie d'entrée sur le marché, Réserves pour opportunités de crash, Réflexion sur les achats en fonction des baisses de prix, Approche d'achat en fonction des corrections du marché, Utilisation d'alarmes pour surveiller les prix","""Acheter de manière réfléchie : Comprendre les risques du trading de Bitcoin""","Stratégie Bitcoin : BUY THE DIP ! dans un ""bull market"" (marché haussier)",Découvre Bitcoin,00:05:50,Video Youtube
7d8f5c7e9180d10d9b48d649fc0bc780,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=YkvyUrOxI9Y&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=20,comment j'utilise bitcoin,"Le texte aborde le concept financier du dollar cost averaging, qui consiste à répartir un investissement en plusieurs paiements étalés dans le temps plutôt que de tout investir en une seule fois.","Dollar Cost Averaging, Stratégie d'investissement, Volatilité du Bitcoin, Accumulation de Bitcoins, Épargne à long terme, Achats échelonnés, Gestion des émotions, Investissement progressif, Plan financier personnel, Objectif financier, Plateformes d'achat de cryptomonnaies","""Dollar Cost Averaging: L'art de l'investissement progressif""",Stratégie Bitcoin - Acheter 10 € par semaine ?!,Découvre Bitcoin,00:05:49,Video Youtube
389e0d3d9fe28ee2ea436ee2e198b413,acheter du btc,2.  dca: choisir une frequence d'achat,1,https://www.youtube.com/watch?v=mpT3kJDfRVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=21,comment j'utilise bitcoin,Roxy et Mathilde discutent de l'achat de bitcoins. Mathilde souhaite en acheter mais ne sait pas comment s'y prendre. Roxy l'aide en mettant en place un plan qui implique la création d'un compte chez Stackingsat pour acheter des bitcoins régulièrement.,"Achat de bitcoins, Création de compte chez StackingSat, Sécurisation des bitcoins, Stratégie d'achat périodique, Green Wallet, Clé privée et sécurité, Création de portefeuille, Utilisation de Green Wallet, Gestion du pin personnel","""Guide pour Acheter des Bitcoins avec Stackingsat""","Création plan d'épargne Bitcoin - 50€/mois, tuto avec une débutante - [Tutoriel]",Découvre Bitcoin,00:13:31,Video Youtube
e8a4c5c3b41306b13da676d9aee92f97,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=JVizZzRmJf8,comment j'utilise bitcoin,"Pour acheter des crypto-monnaies en quelques clics, accédez à l'onglet ""Comptes en euros"" depuis votre tableau de bord. Assurez-vous que votre compte de trading est approvisionné, puis cliquez sur ""Acheter ou Vendre"" ou sélectionnez ""Échanger"" dans le menu de gauche. Choisissez les devises de votre choix, saisissez le montant à acheter ou vendre, puis vérifiez les détails de l'opération en temps réel sur votre écran. Vous pouvez également utiliser le curseur pour sélectionner un pourcentage de votre solde disponible. Enfin, validez en glissant.","Acheter des crypto-monnaies, Tableau de bord, Comptes en euros, Acheter ou vendre / Échanger, Sélectionner des devises, Montant, Opération en temps réel, Curseur, Valider l'achat, Historique des transactions, Détails et exportation, Crédité sur le portefeuille Paymium","""Acheter des Cryptomonnaies Facilement: Guide Étape par Étape""",Comment acheter vos crypto-monnaies en quelques clics ?,Paymium,00:01:42,Video Youtube
d737c02a1d125996e28aaf4f6abaa8fd,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=8g9aGQ53T_A&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=23,comment j'utilise bitcoin,"Le texte parle de la mise en place d'un compte sur la plateforme d'achat et de vente de bitcoins Stand 807. Cette plateforme est adaptée pour des transactions de gros montants, n'acceptant pas les petites sommes. Il mentionne également d'autres plateformes telles que Crackle Jimmy.","Création de compte sur une plateforme d'achat et de vente de bitcoin, Utilisation d'un gestionnaire de mots de passe, Sécurisation des informations personnelles, Processus de vérification ""Know Your Customer"", Risques liés à la sécurité des données personnelles, Vérification d'identité avec pièce d'identité, Reconnaissance faciale pour une étape supplémentaire de vérification, Authentification à deux facteurs pour sécuriser le compte","""Comptes de gros montants sur Stand 807 et Crackle Jimmy : plateformes de bitcoin de premier plan""",Tutoriel Bitstamp complet - (Achat-Vente de bitcoin + retrait),Découvre Bitcoin,00:18:41,Video Youtube
8fbec7650c3c5fd808b1c88943e763cc,acheter du btc,3. acheter du btc sur un exchange,1,https://www.youtube.com/watch?v=OxdgmDxOMRY&t=319s,comment j'utilise bitcoin,"Apple envisage d'accepter Bitcoin sur Apple Pay à l'avenir mais n'a pas de plans immédiats à ce sujet. Ils ne prévoient pas d'investir leur trésorerie dans la cryptomonnaie, arguant que les investisseurs achètent des actions Apple pour une exposition différente.","Accepting Bitcoin on Apple Pay, CEO Tim Apple's comments on cryptocurrency, Diversified portfolio, Citadel Dispatch show, Bitcoin, distributed systems, privacy, open source software, Support from the audience, Bitcoin Q&A, Buying Bitcoin, Exchanges and KYC regulations","""Apple envisage d'accepter Bitcoin sur Apple Pay à l'avenir""",Citadel Dispatch E43: bitcoin for beginners with @BitcoinQ A,Citadel Dispatch,02:15:57,Video Youtube
9b5811d298593f144b8cfb3da4c20641,acheter du btc,1. vue d'ensemble,1,https://unchained.com/blog/ways-to-buy-bitcoin/,comment j'utilise bitcoin,"Comparaison des meilleures façons d'acheter du bitcoin : échanges, P2P, guichets automatiques, et plus encore.","Façons d'acheter du bitcoin : échanges, P2P, guichets automatiques, et plus, Plateformes d'échange de cryptomonnaies, Courtiers en cryptomonnaies, Applications de paiement, Bureaux de trading de gré à gré, Plateformes de trading peer-to-peer, Distributeurs automatiques de bitcoin, Bons d'achat bitcoin, Bitcoin par procuration, Avantages et inconvénients des échanges de cryptomonnaies, Frais et limites, Confidentialité, Sécurité et garde, Règles AML/KYC, Risques li","""Guide d'achat de Bitcoin : Comparaison des Méthodes - Échanges, P2P, Guichets Automatiques et Plus",,,,
